"","ntitle","ndate"
"228","막막한 AI 면접, 아이엠그라운드로 뚫는다!","2020.02.20"
"229","블라인드 채용 기업, 2년 연속 증가세!","2020.02.20"
"230","사람인HR, ‘베트남’ 취업플랫폼 ‘앱랜서’ 인수, 신남방 공략 가속도!","2020.02.18"
"231","해외 취업하고 싶은 국가 1위 미국, 일본은 8위로 6계단 하락!","2020.02.17"
"232","직장인 2명 중 1명, ‘코로나19’로 출근 꺼려져!","2020.02.14"
"233","신종코로나 취업시장에도 불똥? 대기업 44%, 채용 계획 변경!","2020.02.13"
"234","직장인 75%, 이직 원해! 가장 중요한 조건은 ‘연봉’","2020.02.12"
"235","2030세대 52.1%, 플렉스 소비 좋아!","2020.02.11"
"236","채용 시 가장 중요하게 보는 인재상 키워드는?","2020.02.10"
"237","사람인HR, 블록체인 기업 아이콘루프와 MOU 체결!","2020.02.07"
"238","기업 2곳 중 1곳, ‘신종코로나’ 기업 운영에도 영향 미쳐!","2020.02.05"
"239","기업 10명 중 8곳, 평판조회 필요해","2020.02.04"
"240","펭수 신드롬…직장인 10명 중 7명, 펭수에 ‘대리만족’ 느낀다!","2020.02.03"
